         firefox-17168 [000] .... 19948.935808: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935813: sys_enter: NR 7 (7ffdfcc4c2e0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19948.935814: sys_enter: NR 20 (4, 7ffdfcc4c450, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935815: sys_enter: NR 7 (7ffdfcc4c300, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.935821: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.935822: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.935823: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19948.935825: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935825: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935827: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.935831: sys_enter: NR 47 (4, 7ffdfcc4c220, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.935833: sys_enter: NR 47 (4, 7ffdfcc4c3a0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935834: sys_enter: NR 47 (4, 7ffdfcc4c3a0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935835: sys_enter: NR 7 (7ffdfcc4c300, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19948.935836: sys_enter: NR 20 (4, 7ffdfcc4c470, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935837: sys_enter: NR 7 (7ffdfcc4c320, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.935842: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.935843: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.935847: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
